,תכנון ובניה ירושלים,משפט מסחרי,אורי שורק ליטיגציה,"תכנון ובניה ת""א",חדלות פירעון,הייטק וטכנולוגיה,איכות הסביבה,גלית פליישר ליטיגציה,אנרגיה,דעואל פלאי,דרור סברנסקי ליטיגציה,הלה פלג ליטיגציה,טל מישר ליטיגציה,יואב הירש ליטיגציה,בנקאות ומימון,יונתן קהת ליטיגציה,"נדל""ן ת""א","נדל""ן ירושלים",תחרות,עינת שרקי ליטיגציה,צבי אגמון ליטיגציה,באר שבע,שוק ההון
תכנון ובניה ירושלים,0,3,0,3,0,1,0,0,3,2,0,5,3,5,1,0,2,3,3,3,2,2,1
משפט מסחרי,3,0,3,2,2,2,1,1,3,1,1,6,2,2,1,0,1,1,3,3,3,2,4
אורי שורק ליטיגציה,0,3,0,2,0,1,1,2,5,0,1,6,3,6,3,5,0,0,4,3,4,1,8
"תכנון ובניה ת""א",3,2,2,0,0,2,0,1,2,0,1,4,3,3,1,2,4,0,2,0,1,0,2
חדלות פירעון,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1
הייטק וטכנולוגיה,1,2,1,2,0,0,0,0,6,1,0,3,0,2,2,1,0,1,2,2,2,1,3
איכות הסביבה,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
גלית פליישר ליטיגציה,0,1,2,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,1
אנרגיה,3,3,5,2,1,6,1,0,0,1,2,1,5,3,5,2,0,1,6,4,2,1,10
דעואל פלאי,2,1,0,0,0,1,0,0,1,0,0,4,2,3,1,0,1,4,0,2,1,1,0
דרור סברנסקי ליטיגציה,0,1,1,1,0,0,1,0,2,0,0,0,0,2,2,0,0,0,1,1,0,0,1
הלה פלג ליטיגציה,5,6,6,4,1,3,0,0,1,4,0,0,2,5,3,2,4,2,4,7,4,1,3
טל מישר ליטיגציה,3,2,3,3,0,0,0,0,5,2,0,2,0,4,4,2,1,0,7,1,2,0,2
יואב הירש ליטיגציה,5,2,6,3,1,2,0,3,3,3,2,5,4,0,5,1,0,4,4,2,3,1,5
בנקאות ומימון,1,1,3,1,0,2,0,1,5,1,2,3,4,5,0,2,0,1,2,1,3,0,6
יונתן קהת ליטיגציה,0,0,5,2,0,1,1,0,2,0,0,2,2,1,2,0,0,0,2,1,2,0,2
"נדל""ן ת""א",2,1,0,4,0,0,0,0,0,1,0,4,1,0,0,0,0,2,0,0,0,0,1
"נדל""ן ירושלים",3,1,0,0,0,1,0,0,1,4,0,2,0,4,1,0,2,0,0,1,1,1,0
תחרות,3,3,4,2,1,2,0,1,6,0,1,4,7,4,2,2,0,0,0,4,3,0,4
עינת שרקי ליטיגציה,3,3,3,0,0,2,0,0,4,2,1,7,1,2,1,1,0,1,4,0,3,1,1
צבי אגמון ליטיגציה,2,3,4,1,0,2,0,1,2,1,0,4,2,3,3,2,0,1,3,3,0,1,2
באר שבע,2,2,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0
שוק ההון,1,4,8,2,1,3,0,1,10,0,1,3,2,5,6,2,1,0,4,1,2,0,0
